epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,234.608,1.38811,2.11645,1.18702,0.87392,0.22167,0.24639,0.15759,1.19292,1.15039,1.08236,0.000138734,0.000138734,0.000138734
2,394.045,1.23749,1.19639,1.09903,0.61053,0.33738,0.32446,0.19265,1.16975,0.98436,1.06464,0.000272235,0.000272235,0.000272235
3,559.98,1.2165,1.07079,1.08686,0.54786,0.35163,0.3766,0.23779,1.15242,0.94147,1.05875,0.000400232,0.000400232,0.000400232
4,726.48,1.17986,0.97474,1.07158,0.51766,0.35872,0.4008,0.25395,1.14796,0.8714,1.04648,0.00039223,0.00039223,0.00039223
5,896.646,1.15821,0.90695,1.05887,0.53848,0.3493,0.39247,0.25532,1.10999,0.84593,1.03415,0.000383974,0.000383974,0.000383974
6,1064.37,1.13245,0.84878,1.04816,0.60092,0.37846,0.43848,0.28218,1.09741,0.83224,1.0288,0.000375717,0.000375717,0.000375717
7,1231.01,1.11496,0.82267,1.03909,0.48863,0.4595,0.44489,0.29539,1.07536,0.77589,1.01537,0.00036746,0.00036746,0.00036746
8,1390.6,1.09878,0.79346,1.0356,0.59463,0.37535,0.4378,0.28902,1.07483,0.74467,1.01646,0.000359204,0.000359204,0.000359204
9,1548.98,1.07993,0.76371,1.02508,0.45001,0.44829,0.43697,0.29138,1.06751,0.7412,1.01569,0.000350947,0.000350947,0.000350947
10,1714.12,1.07759,0.75381,1.02469,0.65202,0.39056,0.48345,0.316,1.05804,0.72766,1.00412,0.000342691,0.000342691,0.000342691
11,1879.53,1.06446,0.74131,1.01774,0.58188,0.40012,0.46819,0.31625,1.04464,0.72039,0.99968,0.000334434,0.000334434,0.000334434
12,2044.81,1.04862,0.72049,1.00902,0.69103,0.36868,0.4596,0.31553,1.03019,0.70602,0.99058,0.000326177,0.000326177,0.000326177
13,2208.78,1.03822,0.70846,1.00688,0.51341,0.49013,0.46898,0.32471,1.04009,0.70078,1.00117,0.000317921,0.000317921,0.000317921
14,2373.67,1.03078,0.69689,1.00746,0.75526,0.39538,0.4781,0.33247,1.02417,0.68845,0.99376,0.000309664,0.000309664,0.000309664
15,2536.73,1.02348,0.68297,1.00281,0.50575,0.43945,0.51375,0.35356,1.02604,0.68177,0.99077,0.000301408,0.000301408,0.000301408
16,2702.52,1.02234,0.67906,1.00082,0.63464,0.45683,0.51963,0.34496,1.03323,0.67851,0.99655,0.000293151,0.000293151,0.000293151
17,2867.83,1.0115,0.6677,0.99419,0.54147,0.49059,0.4993,0.3506,1.00352,0.661,0.9841,0.000284894,0.000284894,0.000284894
18,3031.14,1.00672,0.66154,0.99435,0.61364,0.46855,0.53613,0.36238,1.01725,0.66497,0.98873,0.000276638,0.000276638,0.000276638
